,fpos1,fpos2,fvel1,fvel2,facc1,facc2,spos1,spos2,svel1,svel2,sacc1,sacc2
2442,0.18360258904302837,0.17278742184672138,0.22164952519442163,0.2095700228126726,0.1354642507892876,0.09296539246425178,0.1670992627377141,0.27592562560700196,0.11229467045813032,0.5062832895930439,-0.1394057646180833,0.48672046247109907
2443,0.18475373583591836,0.17416660678161952,0.2237827070903663,0.21217686085409912,0.1376414606309286,0.09570513313041944,0.16721148753691747,0.2764321522351617,0.1121549279485757,0.5067699667263899,-0.1397425095544851,0.4866771333456334
2444,0.18758166010738075,0.17702747580159497,0.2295176510001619,0.21796567241071313,0.14374147779862045,0.10190955878655479,0.1673235724252497,0.2769391655183635,0.11201484871592869,0.5072565996770125,-0.14007923264693894,0.48663295062271344
2445,0.18855581269311553,0.17506972531455584,0.231261816739947,0.21339081159714512,0.1454855863594275,0.09681291320507142,0.16743551706599888,0.277446665411998,0.1118744327824683,0.5077431875919998,-0.1404159334602873,0.48658791498706694
2446,0.19303109831450216,0.1782006540682722,0.24052976155219236,0.2197588276753102,0.15542673180422925,0.10364691939058156,0.16754732112247553,0.2779546518706034,0.11173368017086574,0.5082297296190881,-0.14075261160266064,0.4865420270887931
2447,0.19546153329199284,0.17006541773878092,0.24539235244187374,0.2019028053338202,0.16055617182665835,0.084076102821079,0.16765898425801318,0.27846312484786595,0.11159259090414236,0.5087162249066705,-0.14108926672349112,0.48649528758256544
2448,0.1971052182623923,0.17315111668540048,0.2485585031550594,0.2081857936791824,0.163831291136181,0.09083089855423973,0.16777050613596797,0.2789720842966213,0.11145116500560923,0.5092026726037953,-0.14142589853298332,0.48644769712447744
2449,0.19584516624446174,0.16838817829987585,0.24547919404870006,0.19759041674458,0.16029743709300306,0.07918678386016023,0.16788188641972018,0.2794815301688533,0.11130940249878973,0.5096890718602402,-0.14176250681937577,0.48639925644472437
2450,0.19849536315319619,0.16681716753811196,0.2508086802101819,0.19386760107077478,0.16592980970595927,0.07504410390422989,0.16799312477267328,0.2799914624156966,0.11116730340737385,0.5101754218265884,-0.14209909141579696,0.4863499663483106
2451,0.19814204937125793,0.17409655480087477,0.24967574190186748,0.20917439656238979,0.16451460200241397,0.09164016289074872,0.1681042208582547,0.2805018809874368,0.11102486775521703,0.5106617216542636,-0.1424356521569458,0.48629982767553426
2452,0.19946413735581767,0.17542188128294003,0.25214549842890277,0.21166538673038662,0.16702624425237048,0.09425433920769727,0.1682151743399154,0.28101278583351186,0.11088209556632589,0.511147970495621,-0.14277218889093937,0.4862488413568559
2453,0.20255122540545742,0.17572450198338446,0.2584068706063352,0.21195507439785374,0.1736660369820709,0.09446726390976468,0.16832598488113104,0.2815241769025116,0.11073898686483585,0.5116341675038926,-0.14310870149001004,0.4861970082714403
2454,0.21084191196517799,0.17159315525558994,0.2758483476308702,0.20271210024977526,0.19247872537245136,0.08429444143830078,0.1684366521454009,0.2820360541421802,0.11059554167500094,0.5121203118331055,-0.14344518983493715,0.4861443292129883
2455,0.21362591956646557,0.1731191553768784,0.2814328163567477,0.20564119104568016,0.1983529265487694,0.08739365083784112,0.16854717579624887,0.28254841749941595,0.11045176002114518,0.5126064026380774,-0.1437816538555347,0.4860908049716348
